name,start time,end time
name,Resize start time,Resize end time
00841.png,1642007072.383478700,1642007087.781662100
00844.png,1642007072.304114700,1642007080.532405100
00846.png,1642007072.416658800,1642007085.974876900
00849.png,1642007072.383557100,1642007079.528879500
IST-1.png,1642007072.383192600,1642007080.19820800
IST-2.png,1642007072.416550600,1642007082.114181400
IST-3.png,1642007072.469738400,1642007089.393048200
Lisboa-1.png,1642007072.469550100,1642007086.506688100
Thread,Thread start time,Thread end time
Thread 0,1642007072.383477500,1642007087.781664100
Thread 1,1642007072.303938800,1642007080.532407100
Thread 2,1642007072.416657200,1642007085.974879500
Thread 3,1642007072.383555900,1642007079.529013800
Thread 4,1642007072.383190800,1642007080.19822600
Thread 5,1642007072.416548900,1642007082.114183300
Thread 6,1642007072.469736800,1642007089.393049900
Thread 7,1642007072.469548600,1642007086.506690000
name,Thumbnail start time,Thumbnail end time
00841.png,1642007089.476283400,1642007087.781662100
00844.png,1642007089.399113800,1642007080.532405100
00846.png,1642007089.399200700,1642007085.974876900
00849.png,1642007089.398937300,1642007079.528879500
IST-1.png,1642007090.34385700,1642007080.19820800
IST-2.png,1642007089.476362800,1642007082.114181400
IST-3.png,1642007089.476179400,1642007089.393048200
Lisboa-1.png,1642007090.34288800,1642007086.506688100
Thread,Thread start time,Thread end time
Thread 0,1642007089.476282100,1642007104.50055700
Thread 1,1642007089.399112300,1642007104.49421800
Thread 2,1642007089.399199500,1642007104.48874700
Thread 3,1642007089.398796600,1642007104.499268200
Thread 4,1642007090.34384300,1642007104.79186000
Thread 5,1642007089.476361700,1642007104.640891100
Thread 6,1642007089.476177700,1642007104.848341300
Thread 7,1642007090.34287200,1642007103.342716600
name,Watermark start time,Watermark end time
00841.png,1642007104.904802900,1642007087.781662100
00844.png,1642007104.958370800,1642007080.532405100
00846.png,1642007104.904951200,1642007085.974876900
00849.png,1642007104.904720000,1642007079.528879500
IST-1.png,1642007104.904876500,1642007080.19820800
IST-2.png,1642007104.904577500,1642007082.114181400
IST-3.png,1642007104.958311600,1642007089.393048200
Lisboa-1.png,1642007104.958216300,1642007086.506688100
Thread,Thread start time,Thread end time
Thread 0,1642007104.904801800,1642007133.555384000
Thread 1,1642007104.958369700,1642007126.256835800
Thread 2,1642007104.904950000,1642007131.900329600
Thread 3,1642007104.904718700,1642007125.982419700
Thread 4,1642007104.904875300,1642007124.626979400
Thread 5,1642007104.904447500,1642007126.59469500
Thread 6,1642007104.958310400,1642007146.117046900
Thread 7,1642007104.958214300,1642007132.727990200
Total,1642007072.42943200,1642007146.125974900
